,Reporting period end date,Weekly total
0,12/19/2020,8360
1,12/26/2020,28319
2,01/02/2021,42645
3,01/09/2021,62568
4,01/16/2021,68668
5,01/23/2021,103493
6,01/30/2021,121344
7,02/06/2021,94380
8,02/13/2021,145754
9,02/20/2021,156386
10,02/27/2021,143633
11,03/06/2021,195811
12,03/13/2021,217948
13,03/20/2021,213046
14,03/27/2021,232584
15,04/03/2021,280099
16,04/10/2021,315972
17,04/17/2021,300432
18,04/24/2021,280422
19,05/01/2021,234305
20,05/08/2021,208237
21,05/15/2021,194494
22,05/22/2021,182521
23,05/29/2021,100305
24,06/05/2021,79700
25,06/12/2021,89489
26,06/19/2021,62446
27,06/26/2021,44131
28,07/03/2021,36800
29,07/10/2021,31460
30,07/17/2021,33722
31,07/24/2021,36833
32,07/31/2021,39012
33,08/07/2021,42810
34,08/14/2021,42773
35,08/21/2021,50446
36,08/28/2021,51666
37,09/04/2021,47265
38,09/11/2021,37711
39,09/18/2021,39887
40,09/25/2021,43661
41,10/02/2021,70962
42,10/09/2021,63299
43,10/16/2021,58262
44,10/23/2021,65726
45,10/30/2021,115716
46,11/06/2021,117925
